Date,BTC,SPX
2025-11-24,88270.5625,6705.1201171875
2025-11-25,87341.890625,6765.8798828125
2025-11-26,90518.3671875,6812.60986328125
2025-11-28,90919.265625,6849.08984375
2025-12-01,86321.5703125,6812.6298828125
2025-12-02,91350.203125,6829.3701171875
2025-12-03,93527.8046875,6849.72021484375
2025-12-04,92141.625,6857.1201171875
2025-12-05,89387.7578125,6870.39990234375
2025-12-08,90640.203125,6846.509765625
2025-12-09,92691.7109375,6840.509765625
2025-12-10,92020.9453125,6886.68017578125
2025-12-11,92511.3359375,6901.0
2025-12-12,90270.4140625,6827.41015625
2025-12-15,86419.78125,6816.509765625
2025-12-16,87843.984375,6800.259765625
2025-12-17,86143.7578125,6721.43017578125
2025-12-18,85462.5078125,6774.759765625
2025-12-19,88103.3828125,6834.5
2025-12-22,88490.015625,6878.490234375
2025-12-23,87414.0,6909.7900390625
2025-12-24,87611.9609375,6932.0498046875
2025-12-26,87301.4296875,6929.93994140625
2025-12-29,87138.140625,6905.740234375
2025-12-30,88430.1328125,6896.240234375
2025-12-31,87508.828125,6845.5
2026-01-02,89944.6953125,6858.47021484375
2026-01-05,93882.5546875,6902.0498046875
2026-01-06,93729.03125,6944.81982421875
2026-01-07,91308.0546875,6920.93017578125
2026-01-08,91027.125,6921.4599609375
2026-01-09,90513.1015625,6966.27978515625
2026-01-12,91192.9921875,6977.27001953125
2026-01-13,95321.78125,6963.740234375
2026-01-14,96929.328125,6926.60009765625
2026-01-15,95551.1875,6944.47021484375
2026-01-16,95525.1171875,6940.009765625
2026-01-20,88310.90625,6796.85986328125
2026-01-21,89376.9609375,6875.6201171875
2026-01-22,89462.453125,6913.35009765625
2026-01-23,89503.875,6915.60986328125
2026-01-26,88267.140625,6950.22998046875
2026-01-27,89102.5703125,6978.60009765625
2026-01-28,89184.5703125,6978.02978515625
2026-01-29,84561.5859375,6969.009765625
2026-01-30,84128.65625,6939.02978515625
2026-02-02,78688.765625,6976.43994140625
2026-02-03,75633.546875,6917.81005859375
2026-02-04,73019.703125,6882.72021484375
2026-02-05,62702.09765625,6798.39990234375
2026-02-06,70555.390625,6932.2998046875
2026-02-09,70120.78125,6964.81982421875
2026-02-10,68793.9609375,6941.81005859375
2026-02-11,66991.96875,6941.47021484375
2026-02-12,66221.84375,6832.759765625
2026-02-13,68857.84375,6836.169921875
2026-02-17,67494.21875,6843.22021484375
2026-02-18,66425.3203125,6881.31005859375
2026-02-19,66957.5234375,6861.89013671875
2026-02-20,68005.421875,6909.509765625
2026-02-23,64616.73828125,6837.75
2026-02-24,64080.04296875,6890.06982421875
2026-02-25,67960.125,6946.1298828125
2026-02-26,67453.7734375,6908.85986328125
2026-02-27,65881.796875,6878.8798828125
2026-03-02,68775.8515625,6881.6201171875
2026-03-03,68293.6484375,6816.6298828125
2026-03-04,72710.578125,6869.5
2026-03-05,70841.125,6830.7099609375
2026-03-06,68136.4921875,6740.02001953125
2026-03-09,68402.3828125,6795.990234375
2026-03-10,69926.921875,6781.47998046875
2026-03-11,70204.8828125,6775.7998046875
2026-03-12,70493.4609375,6672.6201171875
2026-03-13,70968.265625,6632.18994140625
2026-03-16,74861.0859375,6699.3798828125
2026-03-17,73922.4765625,6716.08984375
2026-03-18,71245.578125,6624.7001953125
2026-03-19,69912.7890625,6606.490234375
2026-03-20,70522.5859375,6506.47998046875
2026-03-23,70914.859375,6581.0
2026-03-24,70517.859375,6556.3701171875
2026-03-25,71309.8828125,6591.89990234375
2026-03-26,68791.625,6477.16015625
2026-03-27,66338.375,6368.85009765625
2026-03-30,66691.4453125,6343.72021484375
